TimestampUTC,kw-energex,pv+battery
2016-02-01 07:15:00+10:00,1524.905029296875,-320.1284484863281
2016-02-01 07:30:00+10:00,1391.6669921875,-516.805908203125
2016-02-01 07:45:00+10:00,1446.2369384765625,-535.7682495117188
2016-02-01 08:00:00+10:00,1610.0504150390625,-458.82147216796875
2016-02-01 08:15:00+10:00,1415.218505859375,-778.4205322265625
2016-02-01 08:30:00+10:00,868.5635375976562,-1423.5889892578125
2016-02-01 08:45:00+10:00,942.3880615234375,-1448.3258056640625
2016-02-01 09:00:00+10:00,690.0174560546875,-1819.14990234375
2016-02-01 09:15:00+10:00,466.4282531738281,-2047.566162109375
2016-02-01 09:30:00+10:00,499.2868347167969,-2071.96435546875
2016-02-01 09:45:00+10:00,459.0990295410156,-2167.496337890625
2016-02-01 10:00:00+10:00,390.3954162597656,-2281.32080078125
2016-02-01 10:15:00+10:00,670.80615234375,-2062.2412109375
2016-02-01 10:30:00+10:00,434.8053894042969,-2316.697998046875
2016-02-01 10:45:00+10:00,1001.0612182617188,-1787.6788330078125
2016-02-01 11:00:00+10:00,1074.291259765625,-1803.9375
2016-02-01 11:15:00+10:00,553.5194702148438,-2374.43701171875
2016-02-01 11:30:00+10:00,1151.03564453125,-1803.5526123046875
2016-02-01 11:45:00+10:00,1037.633544921875,-2035.7442626953125
2016-02-01 12:00:00+10:00,1733.6121826171875,-1368.7669677734375
2016-02-01 12:15:00+10:00,1358.42333984375,-1776.7291259765625
2016-02-01 12:30:00+10:00,697.2998046875,-2438.048583984375
2016-02-01 12:45:00+10:00,760.8429565429688,-2346.03076171875
2016-02-01 13:00:00+10:00,1442.8499755859375,-1667.9686279296875
2016-02-01 13:15:00+10:00,1213.5855712890625,-1898.2501220703125
2016-02-01 13:30:00+10:00,1570.25390625,-1558.027587890625
2016-02-01 13:45:00+10:00,1406.697509765625,-1733.051025390625
2016-02-01 14:00:00+10:00,1419.78857421875,-1658.219482421875
2016-02-01 14:15:00+10:00,1346.89794921875,-1746.145751953125
2016-02-01 14:30:00+10:00,1412.329833984375,-1670.1837158203125
2016-02-01 14:45:00+10:00,1834.0572509765625,-1172.4140625
2016-02-01 15:00:00+10:00,1690.48193359375,-1267.2139892578125
2016-02-01 15:15:00+10:00,1330.5540771484375,-1590.427001953125
2016-02-01 15:30:00+10:00,1972.48876953125,-965.0496826171875
2016-02-01 15:45:00+10:00,1910.08203125,-987.8605346679688
2016-02-01 16:00:00+10:00,1999.985107421875,-900.8209838867188
2016-02-01 16:15:00+10:00,2088.047119140625,-896.1265258789062
2016-02-01 16:30:00+10:00,1073.9635009765625,-1789.34716796875
2016-02-01 16:45:00+10:00,1500.318359375,-1204.635498046875
2016-02-01 17:00:00+10:00,1814.0419921875,-877.7944946289062
2016-02-01 17:15:00+10:00,2135.412841796875,-399.89263916015625
2016-02-01 17:30:00+10:00,2377.62744140625,-204.27650451660156
2016-02-01 17:45:00+10:00,2252.827880859375,-188.9429931640625
2016-02-01 18:00:00+10:00,2303.767578125,-113.28519439697266
2016-02-01 18:15:00+10:00,2084.263671875,-231.3046417236328
2016-02-01 18:30:00+10:00,2196.164794921875,-111.23391723632812
2016-02-01 18:45:00+10:00,2148.782470703125,-18.809709548950195
2016-02-01 19:00:00+10:00,2071.700439453125,7.330234050750732
2016-02-01 19:15:00+10:00,2065.70947265625,7.524379730224609
2016-02-01 19:30:00+10:00,2037.4075927734375,7.614540100097656
2016-02-01 19:45:00+10:00,2050.134521484375,7.436199188232422
2016-02-01 20:00:00+10:00,2012.6937255859375,7.350512504577637
2016-02-01 20:15:00+10:00,1950.1231689453125,7.221017360687256
